Y_avg,event_no,Y_avg_log,transitions,process_entropy,process_type,statespace_size,number_of_traces,activity_duration_lambda_range
0.8692474862885031,1,-0.14012739991485246,3.0,min_entropy,Memoryless,5,500.0,1.0
0.4108043148797062,2,-0.8896382973808852,3.0,min_entropy,Memoryless,5,500.0,1.0
0.6215118624797689,3,-0.47560028135951027,3.0,min_entropy,Memoryless,5,500.0,1.0
1.4721460092915741,4,0.3867212064823925,3.0,min_entropy,Memoryless,5,500.0,1.0
0.9487085382998476,5,-0.05265365262396632,3.0,min_entropy,Memoryless,5,500.0,1.0
1.111848407885112,1,0.10602386269112712,3.0,med_entropy,Memoryless,5,500.0,1.0
1.1774166244578792,2,0.16332273714702875,3.0,med_entropy,Memoryless,5,500.0,1.0
1.205286755993658,3,0.18671751041079515,3.0,med_entropy,Memoryless,5,500.0,1.0
0.9490336306757531,4,-0.05231104298562861,3.0,med_entropy,Memoryless,5,500.0,1.0
0.7015476596313142,5,-0.35446644214468304,3.0,med_entropy,Memoryless,5,500.0,1.0
0.7218707085686525,6,-0.32590923012961115,3.0,med_entropy,Memoryless,5,500.0,1.0
1.2192705599107285,7,0.19825277821813944,3.0,med_entropy,Memoryless,5,500.0,1.0
1.1350721573695455,8,0.12669622368750558,3.0,med_entropy,Memoryless,5,500.0,1.0
1.1027978155833675,9,0.0978504193742548,3.0,med_entropy,Memoryless,5,500.0,1.0
1.2835111303128854,10,0.24959939313632376,3.0,med_entropy,Memoryless,5,500.0,1.0
0.8755833871913496,11,-0.1328648865703527,3.0,med_entropy,Memoryless,5,500.0,1.0
0.9733268684633553,12,-0.02703531439968093,3.0,med_entropy,Memoryless,5,500.0,1.0
1.1686784498520761,13,0.15587358036887433,3.0,med_entropy,Memoryless,5,500.0,1.0
1.1064432302526694,14,0.10115057350156925,3.0,med_entropy,Memoryless,5,500.0,1.0
1.1550249261605257,15,0.14412192483225267,3.0,med_entropy,Memoryless,5,500.0,1.0
1.4742632801245554,16,0.3881583939125458,3.0,med_entropy,Memoryless,5,500.0,1.0
1.8179184817282694,17,0.59769215521656,3.0,med_entropy,Memoryless,5,500.0,1.0
1.1612575315031168,18,0.14950349681109396,3.0,med_entropy,Memoryless,5,500.0,1.0
0.8800571299115183,19,-0.1277684532631218,3.0,med_entropy,Memoryless,5,500.0,1.0
0.6403604385109416,20,-0.4457240759843249,3.0,med_entropy,Memoryless,5,500.0,1.0
1.3140973412904047,21,0.27314999744830537,3.0,med_entropy,Memoryless,5,500.0,1.0
1.5305412719351275,22,0.425621445348225,3.0,med_entropy,Memoryless,5,500.0,1.0
0.9927793690064713,23,-0.007246825921608635,3.0,med_entropy,Memoryless,5,500.0,1.0
1.1175217736066272,24,0.11111353152751899,3.0,med_entropy,Memoryless,5,500.0,1.0
0.7076527986134807,25,-0.345801703011154,3.0,med_entropy,Memoryless,5,500.0,1.0
1.526896209755819,26,0.42323705389094585,3.0,med_entropy,Memoryless,5,500.0,1.0
1.431232217310774,27,0.35853576365686823,3.0,med_entropy,Memoryless,5,500.0,1.0
0.2564740426734817,28,-1.3607278176462592,3.0,med_entropy,Memoryless,5,500.0,1.0
0.36838939582550206,29,-0.9986147594194388,3.0,med_entropy,Memoryless,5,500.0,1.0
0.20892577472297727,30,-1.5657762349623368,3.0,med_entropy,Memoryless,5,500.0,1.0
